date,barangay,brgy,confirmed_cases,deaths,recovered
1-Apr-20,22,Malabon City,9,3,1
2-Apr-20,22,Malabon City,9,3,1
3-Apr-20,22,Malabon City,11,4,1
4-Apr-20,22,Malabon City,12,4,1
5-Apr-20,22,Malabon City,12,4,1
6-Apr-20,22,Malabon City,15,4,1
7-Apr-20,22,Malabon City,20,5,1
8-Apr-20,22,Malabon City,21,5,1
9-Apr-20,22,Malabon City,21,5,1
10-Apr-20,22,Malabon City,21,5,1
11-Apr-20,22,Malabon City,22,5,1
12-Apr-20,22,Malabon City,22,5,1
13-Apr-20,22,Malabon City,22,5,1
14-Apr-20,22,Malabon City,27,6,1
15-Apr-20,22,Malabon City,28,6,1
16-Apr-20,22,Malabon City,28,6,1
17-Apr-20,22,Malabon City,29,6,4
18-Apr-20,22,Malabon City,29,6,4
19-Apr-20,22,Malabon City,29,6,4
20-Apr-20,22,Malabon City,29,6,5
21-Apr-20,22,Malabon City,31,7,5
22-Apr-20,22,Malabon City,31,7,5
23-Apr-20,22,Malabon City,31,7,5
24-Apr-20,22,Malabon City,32,7,6
25-Apr-20,22,Malabon City,34,7,6
26-Apr-20,22,Malabon City,40,7,6
27-Apr-20,22,Malabon City,45,8,6
28-Apr-20,22,Malabon City,46,9,10
29-Apr-20,22,Malabon City,51,9,12
30-Apr-20,22,Malabon City,57,9,12
1-May-20,22,Malabon City,58,9,12
2-May-20,22,Malabon City,60,9,12
3-May-20,22,Malabon City,63,9,12
4-May-20,22,Malabon City,63,9,12
5-May-20,22,Malabon City,64,9,12
6-May-20,22,Malabon City,67,10,17
7-May-20,22,Malabon City,68,10,17
8-May-20,22,Malabon City,70,10,21
9-May-20,22,Malabon City,70,10,21
10-May-20,22,Malabon City,70,10,23
11-May-20,22,Malabon City,74,12,23
12-May-20,22,Malabon City,78,13,23
13-May-20,22,Malabon City,81,14,24
14-May-20,22,Malabon City,82,14,26
15-May-20,22,Malabon City,82,14,26
16-May-20,22,Malabon City,86,14,28
17-May-20,22,Malabon City,92,15,34
18-May-20,22,Malabon City,94,15,35
19-May-20,22,Malabon City,98,15,36
20-May-20,22,Malabon City,100,15,37
21-May-20,22,Malabon City,100,15,39
22-May-20,22,Malabon City,111,17,42
23-May-20,22,Malabon City,112,17,43
24-May-20,22,Malabon City,123,17,50
25-May-20,22,Malabon City,123,18,50
26-May-20,22,Malabon City,131,19,54
27-May-20,22,Malabon City,135,20,58
28-May-20,22,Malabon City,140,20,59
29-May-20,22,Malabon City,150,20,59
30-May-20,22,Malabon City,151,21,59
31-May-20,22,Malabon City,157,23,60
1-Jun-20,22,Malabon City,161,23,61
2-Jun-20,22,Malabon City,172,24,62
3-Jun-20,22,Malabon City,181,24,62
4-Jun-20,22,Malabon City,204,26,66
5-Jun-20,22,Malabon City,222,28,73
6-Jun-20,22,Malabon City,230,29,75
7-Jun-20,22,Malabon City,235,30,81
8-Jun-20,22,Malabon City,238,31,82
9-Jun-20,22,Malabon City,260,32,85
10-Jun-20,22,Malabon City,268,34,86
11-Jun-20,22,Malabon City,272,36,95
12-Jun-20,22,Malabon City,282,36,95
13-Jun-20,22,Malabon City,292,36,96
14-Jun-20,22,Malabon City,297,37,96
15-Jun-20,22,Malabon City,304,40,97
16-Jun-20,22,Malabon City,315,41,118
17-Jun-20,22,Malabon City,323,42,128
18-Jun-20,22,Malabon City,337,42,131
19-Jun-20,22,Malabon City,346,44,134
20-Jun-20,22,Malabon City,355,46,137
