barangay,district,population,area,popden
Acacia,2,5735,19.54,293.5
Baritan,1,11476,33.01,347.65
Bayan-bayanan,1,7326,8.46,865.96
Catmon,1,36450,97.77,372.81
Concepcion,1,11806,33.97,347.54
Dampalit,1,11245,261.9,42.94
Flores,1,4282,9,475.78
Hulong Duhat,1,10466,56.61,184.88
Ibaba,1,7630,16.56,460.75
Longos,2,48039,89.99,533.83
Maysilo,1,11213,126.53,88.62
Muzon,1,5689,49.71,114.44
Niugan,1,5936,31.38,189.17
Panghulo,1,12772,121.53,105.09
Potrero,2,41407,302.71,136.79
San Agustin,1,11156,31.59,353.14
Santolan,1,15872,46.85,338.78
Tanong,1,14620,33.83,432.16
Tinajeros,2,17901,84.78,211.15
Tonsuya,2,39354,59.4,662.53
Tugatog,2,22960,55.4,414.44
